Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,459,132334,109342,96117,1730,19524,506,3468,19286,955,5672
C:\xampp\htdocs\elearning,459,132334,109342,96117,1730,19524,506,3468,19286,955,5672
C:\xampp\htdocs\elearning\admin,34,3022,2920,696,74,100,2,2,7,0,0
C:\xampp\htdocs\elearning\admin\academic,2,149,146,37,5,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\class,3,228,220,58,9,8,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\course,2,138,135,33,4,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\department,2,138,135,33,4,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\faculty,4,380,369,83,16,11,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc,6,578,560,47,12,18,1,0,2,0,0
C:\xampp\htdocs\elearning\admin\students,4,371,360,83,15,11,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\subject,2,138,135,33,4,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\system_info,1,87,83,13,1,4,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\user,1,97,95,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\classes,6,1081,1002,734,271,72,0,7,13,0,0
C:\xampp\htdocs\elearning\database,1,501,220,0,0,100,7,181,303,8,22
C:\xampp\htdocs\elearning\dist,13,66073,54977,49477,0,10969,6,127,446,98,348
C:\xampp\htdocs\elearning\dist\css,13,66073,54977,49477,0,10969,6,127,446,98,348
C:\xampp\htdocs\elearning\dist\css\alt,10,33021,27444,24704,0,5483,5,94,326,76,266
C:\xampp\htdocs\elearning\faculty,19,1690,1622,410,31,66,2,2,7,0,0
C:\xampp\htdocs\elearning\faculty\class,1,85,83,17,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc,6,522,504,47,12,18,1,0,2,0,0
C:\xampp\htdocs\elearning\faculty\lesson,3,323,315,70,13,8,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\user,1,93,91,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\inc,6,545,523,38,10,18,1,4,10,0,0
C:\xampp\htdocs\elearning\libs,19,9635,6151,5725,1293,1470,285,2014,10839,5,30
C:\xampp\htdocs\elearning\libs\css,1,6,1,1515,0,0,1,5,32,4,29
C:\xampp\htdocs\elearning\libs\phpqrcode,17,9549,6072,4145,1293,1470,284,2007,10805,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\bindings,1,2876,1688,1191,395,212,136,976,4740,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\bindings\tcpdf,1,2876,1688,1191,395,212,136,976,4740,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\tools,3,123,41,24,0,20,8,62,518,0,0
C:\xampp\htdocs\elearning\plugins,327,47370,39636,38302,0,6610,199,1124,7636,844,5272
C:\xampp\htdocs\elearning\plugins\bootstrap-colorpicker,2,411,321,297,0,55,2,35,112,16,64
C:\xampp\htdocs\elearning\plugins\bootstrap-colorpicker\css,2,411,321,297,0,55,2,35,112,16,64
C:\xampp\htdocs\elearning\plugins\bootstrap-slider,2,461,324,316,0,54,1,83,494,81,488
C:\xampp\htdocs\elearning\plugins\bootstrap-slider\css,2,461,324,316,0,54,1,83,494,81,488
C:\xampp\htdocs\elearning\plugins\bootstrap-switch,4,719,674,524,0,6,0,39,228,32,116
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css,4,719,674,524,0,6,0,39,228,32,116
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap2,2,521,495,374,0,3,0,23,170,16,58
C:\xampp\htdocs\elearning\plugins\bootstrap-switch\css\bootstrap3,2,198,179,150,0,3,0,16,58,16,58
C:\xampp\htdocs\elearning\plugins\bootstrap4-duallistbox,2,89,68,61,0,13,0,8,40,8,40
C:\xampp\htdocs\elearning\plugins\bs-stepper,2,200,162,149,0,27,1,11,42,9,36
C:\xampp\htdocs\elearning\plugins\bs-stepper\css,2,200,162,149,0,27,1,11,42,9,36
C:\xampp\htdocs\elearning\plugins\chart.js,2,49,36,35,0,5,0,8,16,4,8
C:\xampp\htdocs\elearning\plugins\codemirror,75,4017,3040,2609,0,603,69,374,1566,325,1091
C:\xampp\htdocs\elearning\plugins\codemirror\addon,9,454,395,328,0,58,0,1,5,1,5
C:\xampp\htdocs\elearning\plugins\codemirror\addon\dialog,1,33,28,23,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\display,1,7,6,5,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\fold,1,21,20,14,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\hint,1,37,30,27,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\lint,1,72,61,51,0,10,0,1,5,1,5
C:\xampp\htdocs\elearning\plugins\codemirror\addon\merge,1,120,104,88,0,16,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\scroll,1,67,57,44,0,10,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\search,1,9,8,7,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\addon\tern,1,88,81,69,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\mode,2,41,36,26,0,5,1,0,9,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\mode\tiddlywiki,1,15,14,10,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\mode\tiki,1,26,22,16,0,4,1,0,9,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme,63,3171,2324,2025,0,497,61,350,1343,323,1084
C:\xampp\htdocs\elearning\plugins\datatables-autofill,2,94,87,86,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-autofill\css,2,94,87,86,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-bs4,2,213,202,157,0,11,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-bs4\css,2,213,202,157,0,11,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-buttons,2,198,191,186,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-buttons\css,2,198,191,186,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-colreorder,2,14,11,10,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-colreorder\css,2,14,11,10,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedcolumns,2,67,60,31,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedcolumns\css,2,67,60,31,0,7,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedheader,2,23,18,16,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedheader\css,2,23,18,16,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-keytable,2,12,9,6,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-keytable\css,2,12,9,6,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-responsive,2,193,189,169,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-responsive\css,2,193,189,169,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowgroup,2,23,18,16,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowgroup\css,2,23,18,16,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowreorder,2,25,20,19,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowreorder\css,2,25,20,19,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-scroller,2,39,36,33,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-scroller\css,2,39,36,33,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-searchpanes,2,350,327,315,0,23,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-searchpanes\css,2,350,327,315,0,23,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-select,2,118,114,89,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-select\css,2,118,114,89,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\daterangepicker,1,411,337,262,0,73,0,1,4,0,0
C:\xampp\htdocs\elearning\plugins\dropzone,4,441,427,434,0,6,0,8,24,8,24
C:\xampp\htdocs\elearning\plugins\dropzone\min,2,4,2,85,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\ekko-lightbox,1,2,1,24,0,0,0,1,3,0,0
C:\xampp\htdocs\elearning\plugins\flag-icon-css,2,1571,1569,1568,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\flag-icon-css\css,2,1571,1569,1568,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\fontawesome-free,14,11835,8099,7882,0,3676,0,60,410,56,364
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css,14,11835,8099,7882,0,3676,0,60,410,56,364
C:\xampp\htdocs\elearning\plugins\fullcalendar,2,1431,1200,1106,0,134,100,97,1187,1,5
C:\xampp\htdocs\elearning\plugins\icheck-bootstrap,2,396,322,260,0,65,1,9,32,9,32
C:\xampp\htdocs\elearning\plugins\ion-rangeslider,2,677,671,632,0,1,1,5,28,5,28
C:\xampp\htdocs\elearning\plugins\ion-rangeslider\css,2,677,671,632,0,1,1,5,28,5,28
C:\xampp\htdocs\elearning\plugins\jquery-ui,6,2661,2447,2600,0,90,14,124,592,44,215
C:\xampp\htdocs\elearning\plugins\jqvmap,2,53,51,44,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\jsgrid,4,400,308,256,0,71,3,21,97,20,92
C:\xampp\htdocs\elearning\plugins\overlayScrollbars,2,649,606,549,0,7,4,36,127,27,62
C:\xampp\htdocs\elearning\plugins\overlayScrollbars\css,2,649,606,549,0,7,4,36,127,27,62
C:\xampp\htdocs\elearning\plugins\pace-progress,150,15360,13790,12490,0,1420,0,150,2400,150,2400
C:\xampp\htdocs\elearning\plugins\pace-progress\themes,150,15360,13790,12490,0,1420,0,150,2400,150,2400
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\black,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\blue,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\green,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\orange,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\pink,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\purple,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\red,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\silver,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\white,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\pace-progress\themes\yellow,15,1536,1379,1249,0,142,0,15,240,15,240
C:\xampp\htdocs\elearning\plugins\select2,2,484,426,425,0,58,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\select2-bootstrap4-theme,2,177,156,153,0,21,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\select2\css,2,484,426,425,0,58,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\summernote,7,62,21,1220,0,5,0,36,108,36,108
C:\xampp\htdocs\elearning\plugins\summernote\plugin,1,17,15,13,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\summernote\plugin\databasic,1,17,15,13,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\sweetalert2,2,1369,1337,1319,0,32,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\sweetalert2-theme-bootstrap-4,2,1507,1415,1421,0,88,0,4,10,4,10
C:\xampp\htdocs\elearning\plugins\tempusdominus-bootstrap-4,2,338,321,311,0,8,1,9,40,9,40
C:\xampp\htdocs\elearning\plugins\tempusdominus-bootstrap-4\css,2,338,321,311,0,8,1,9,40,9,40
C:\xampp\htdocs\elearning\plugins\toastr,2,230,224,196,0,1,1,5,64,0,37
C:\xampp\htdocs\elearning\plugins\uplot,1,1,1,26,0,0,1,0,12,0,12
C:\xampp\htdocs\elearning\student,18,1644,1586,416,32,56,2,2,7,0,0
C:\xampp\htdocs\elearning\student\inc,6,522,504,47,12,18,1,0,2,0,0
C:\xampp\htdocs\elearning\student\lesson,3,310,303,71,13,7,0,0,0,0,0
C:\xampp\htdocs\elearning\student\subject,1,91,90,22,3,1,0,0,0,0,0
C:\xampp\htdocs\elearning\student\user,1,93,91,20,2,2,0,0,0,0,0
