File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\elearning\config.php,redirect($url=''),3,3,2,1,0,0,0,0,
C:\xampp\htdocs\elearning\config.php,validate_image($file),11,10,8,5,0,0,1,1,
C:\xampp\htdocs\elearning\config.php,isMobileDevice(),18,15,6,3,1,0,2,11,
C:\xampp\htdocs\elearning\admin\faculty\manage.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
C:\xampp\htdocs\elearning\admin\students\manage.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
C:\xampp\htdocs\elearning\admin\system_info\index.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
C:\xampp\htdocs\elearning\admin\user\index.php,foreach($user->fetch_array() as $k =>$v),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\elearning\admin\user\index.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
C:\xampp\htdocs\elearning\classes\Login.php,switch($action),22,22,15,7,0,0,0,0,
C:\xampp\htdocs\elearning\classes\Master.php,switch($action),60,57,38,19,2,0,1,2,
C:\xampp\htdocs\elearning\classes\SystemSettings.php,switch($action),7,6,4,2,0,0,1,2,
C:\xampp\htdocs\elearning\classes\Users.php,switch($action),16,15,10,5,0,0,1,2,
C:\xampp\htdocs\elearning\classes\Zone.php,switch($action),10,9,6,3,0,0,1,2,
C:\xampp\htdocs\elearning\faculty\lesson\view_lesson.php,foreach($slides as $k =>$v),3,3,2,1,0,0,0,0,
C:\xampp\htdocs\elearning\faculty\user\index.php,foreach($user->fetch_array() as $k =>$v),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\elearning\faculty\user\index.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
C:\xampp\htdocs\elearning\libs\phpqrcode\tools\merge.php,foreach($fileList as $fileName),6,6,5,0,0,1,0,3,
C:\xampp\htdocs\elearning\student\lesson\view_lesson.php,foreach($slides as $k =>$v),3,3,2,1,0,0,0,0,
C:\xampp\htdocs\elearning\student\user\index.php,foreach($user->fetch_array() as $k =>$v),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\elearning\student\user\index.php,"displayImg(input,_this)",9,8,6,1,1,0,0,0,
